Event date,Group,Q,Q/A
1980-01-11,18I/01H,2.67,4.125180054455181
1980-01-12,18I/01H,2.61,4.032479379074165
1980-01-13,18I/01H,2.61,4.032479379074165
1980-01-14,18I/01H,2.61,4.032479379074165
1980-01-15,18I/01H,2.62,4.047929491637668
1980-01-16,18I/01H,3.5,5.407539397225893
1980-01-17,18I/01H,3.9,6.025543899765995
1980-01-18,18I/01H,3.41,5.268488384154371
1980-01-19,18I/01H,3.23,4.990386358011324
1980-01-20,18I/01H,3.5,5.407539397225893
1980-01-21,18I/01H,3.47,5.361189059535386
1980-01-22,18I/01H,3.34,5.160337596209851
1980-01-23,18I/01H,3.34,5.160337596209851
1980-01-24,18I/01H,3.41,5.268488384154371
1980-01-25,18I/01H,3.47,5.361189059535386
1980-01-26,18I/01H,3.34,5.160337596209851
1980-01-27,18I/01H,3.16,4.882235570066807
1980-01-28,18I/01H,3.04,4.696834219304775
1980-01-29,18I/01H,2.98,4.60413354392376
1980-01-30,18I/01H,2.98,4.60413354392376
1980-01-31,18I/01H,3.53,5.4538897349164
1980-02-01,18I/01H,4.18,6.458147051544066
1980-02-02,18I/01H,3.65,5.639291085678431
1980-02-03,18I/01H,3.28,5.0676369208288365
1980-02-04,18I/01H,3.22,4.974936245447822
1980-02-05,18I/01H,3.16,4.882235570066807
1980-02-06,18I/01H,3.18,4.913135795193812
1980-02-07,18I/01H,3.16,4.882235570066807
1980-02-08,18I/01H,3.0,4.635033769050765
1980-02-09,18I/01H,3.1,4.789534894685791
1980-02-10,18I/01H,3.22,4.974936245447822
1980-02-11,18I/01H,3.16,4.882235570066807
1980-02-12,18I/01H,3.04,4.696834219304775
1980-02-13,18I/01H,2.92,4.5114328685427445
1980-02-14,18I/01H,2.79,4.310581405217212
1980-02-15,18I/01H,3.19,4.928585907757314
1980-02-16,18I/01H,5.06,7.81775695713229
1980-02-17,18I/01H,4.84,7.4778544807352345
1980-02-18,18I/01H,4.15,6.411796713853559
1980-02-19,18I/01H,5.59,8.636612922997926
1980-02-20,18I/01H,6.45,9.965322603459146
1980-02-21,18I/01H,5.36,8.281260334037368
1980-02-22,18I/01H,5.69,8.791114048632952
1980-02-23,18I/01H,5.96,9.20826708784752
1980-02-24,18I/01H,5.03,7.771406619441784
1980-02-25,18I/01H,4.4,6.7980495279411235
1980-02-26,18I/01H,4.02,6.210945250528026
1980-02-27,18I/01H,3.84,5.932843224384979
1980-02-28,18I/01H,3.71,5.731991761059447
1980-02-29,18I/01H,4.09,6.319096038472543
1980-03-01,18I/01H,4.65,7.184302342028687
1980-03-02,18I/01H,4.63,7.153402116901681
1980-03-03,18I/01H,5.07,7.833207069695795
1980-03-04,18I/01H,4.71,7.277003017409702
1980-03-05,18I/01H,4.09,6.319096038472543
1980-03-06,18I/01H,3.71,5.731991761059447
1980-03-07,18I/01H,3.59,5.546590410297416
1980-03-08,18I/01H,3.47,5.361189059535386
1980-03-09,18I/01H,3.22,4.974936245447822
1980-03-10,18I/01H,3.04,4.696834219304775
1980-03-11,18I/01H,2.98,4.60413354392376
1980-03-12,18I/01H,2.85,4.403282080598228
1980-03-13,18I/01H,2.73,4.217880729836196
1980-03-14,18I/01H,2.67,4.125180054455181
1980-03-15,18I/01H,2.61,4.032479379074165
1980-03-16,18I/01H,2.61,4.032479379074165
1980-03-17,18I/01H,2.46,3.8007276906216276
1980-03-18,18I/01H,3.65,5.639291085678431
1980-03-19,18I/01H,5.36,8.281260334037368
1980-03-20,18I/01H,4.71,7.277003017409702
1980-03-21,18I/01H,7.07,10.923229582396305
1980-03-22,18I/01H,8.32,12.854493652834124
1980-03-23,18I/01H,5.87,9.069216074775998
1980-03-24,18I/01H,5.28,8.157659433529346
1980-03-25,18I/01H,5.22,8.06495875814833
1980-03-26,18I/01H,5.11,7.895007519949805
1980-03-27,18I/01H,5.92,9.14646663759351
1980-03-28,18I/01H,7.94,12.267389375421025
1980-03-29,18I/01H,6.47,9.99622282858615
1980-03-30,18I/01H,5.52,8.528462135053408
1980-03-31,18I/01H,4.9,7.57055515611625
1980-04-01,18I/01H,4.4,6.7980495279411235
1980-04-02,18I/01H,4.02,6.210945250528026
1980-04-03,18I/01H,3.71,5.731991761059447
1980-04-04,18I/01H,3.41,5.268488384154371
1980-04-05,18I/01H,3.1,4.789534894685791
1980-04-06,18I/01H,2.85,4.403282080598228
